User,Credit Policty,Loan Purpose,Interest Rate,Installment,DTI,Days with Credit Line,Revolving Bal,Revol_Util,Inq Last 6mos,Delinq 2yrs,Public Record,Not Fully Paid
40,0,Debt Consolidation,0.1217,233.07,11.58,6221,2778,99.2,6,0,0,0
41,0,All Other,0.1154,19.8,4.8,750.0416667,228,19,3,0,0,0
42,0,Home Improvement,0.1249,80.28,20.56,2070,18749,83,5,0,0,1
43,0,Debt Consolidation,0.1312,438.78,10.33,660,0,0,4,0,0,0
44,0,Debt Consolidation,0.1628,282.37,25,2010.041667,8768,71.9,3,0,0,1
45,0,All Other,0.1217,99.89,14.85,2820,0,0,31,0,1,0
46,1,All Other,0.1461,275.81,12.59,2280.041667,15183,70.3,1,0,1,1
47,1,Debt Consolidation,0.1461,189.62,8.06,5460,30209,79.3,2,0,0,0
48,1,Home Improvement,0.1496,277.16,17.34,3360.041667,8590,87.7,1,0,0,0
49,1,Debt Consolidation,0.1496,86.62,13.2,4020,1759,48.9,2,0,0,0
50,1,All Other,0.1392,51.21,19.08,3300.041667,2603,44.1,3,0,0,0
51,1,Debt Consolidation,0.1461,172.38,16.74,2280.041667,4925,40,2,0,0,0
52,1,Small Business,0.2121,491.2,10.45,3538,14718,40.4,1,0,0,0
53,1,Major Purchase,0.1392,102.42,4.63,7500.041667,900,19.6,2,0,0,1
54,1,All Other,0.1426,171.53,17.64,5340.041667,54165,75,1,1,0,0
55,1,Debt Consolidation,0.1774,144.09,14.04,3264,3082,99.4,0,0,0,0
56,1,Debt Consolidation,0.1531,348.16,15.02,2370.041667,8556,44.3,1,0,0,0
57,1,Major Purchase,0.1531,389.94,21.85,2779.041667,10677,55,1,0,0,0
58,1,Debt Consolidation,0.1426,205.84,14.05,9240.041667,3407,48.7,2,5,0,0
59,1,Major Purchase,0.1496,242.52,2.64,3660,54727,89.2,0,0,0,0
60,1,Debt Consolidation,0.1878,913.63,18.18,5160,15109,77.9,1,0,0,0
61,0,Debt Consolidation,0.164,530.33,18.12,6390,13605,70.9,2,1,0,0
62,0,Debt Consolidation,0.1545,453.52,14.52,3810,8545,82.2,3,0,0,0
63,0,All Other,0.1829,399.28,11.09,2130,40915,2.4,1,0,0,1
64,0,All Other,0.1482,193.64,20.6,3329.958333,2166,83.3,2,0,0,1
65,0,Debt Consolidation,0.145,314.1,17.24,2699.958333,10643,71.9,1,0,0,0
66,0,All Other,0.1418,270.7,15.1,4710,5192,78.7,0,1,0,1
67,0,Educational,0.1355,190.18,6.77,725,4885,57.5,0,0,0,0
68,0,Debt Consolidation,0.1355,119.71,10.91,5040,3513,92.4,1,0,0,0
69,0,All Other,0.1513,41.68,24.81,3870,7809,85.8,5,1,1,1
70,0,Home Improvement,0.1531,174.08,21.99,5191.041667,25612,42.1,4,0,0,0
71,0,Debt Consolidation,0.16,275.99,17.18,1500,4339,11.6,4,0,0,0
72,0,All Other,0.16,87.9,5.82,9180,1436,65.3,6,1,0,1
73,0,Debt Consolidation,0.209,526.73,13.81,4110.041667,13020,33,4,0,0,0
74,0,Debt Consolidation,0.1843,727.4,5.25,9511,14548,87.6,4,0,1,0
75,0,All Other,0.1719,536.2,19.94,4440,226936,94.7,0,0,0,0
76,0,Debt Consolidation,0.1843,691.03,20.12,1640.041667,1890,19.1,5,4,0,0
77,0,All Other,0.1947,922.42,19.81,3380.041667,20622,76.4,5,0,0,0
78,0,Debt Consolidation,0.157,262.59,21.35,4260.041667,9659,84.7,4,0,0,0
79,0,All Other,0.2164,551.08,24.06,1800,16441,49.8,9,0,0,1
80,0,All Other,0.1324,172.43,6.99,780,5734,59.1,32,0,0,1
81,0,Debt Consolidation,0.1545,334.91,21.91,3839.041667,10665,94.4,3,0,0,0
82,0,Educational,0.145,123.06,21.33,2189.958333,20952,63.3,6,0,0,1
83,0,All Other,0.1261,33.51,0.85,540,1496,71.2,1,0,0,0
84,0,Debt Consolidation,0.1324,101.43,13.92,3600,2131,96.9,0,0,0,0
85,0,All Other,0.145,258.16,19.63,4379.958333,45076,56.8,6,0,0,1
86,0,All Other,0.1482,121.03,20.76,3600,9366,85.1,0,0,0,0
87,0,All Other,0.1691,489.61,7.47,3600,168496,46.1,2,1,0,1
88,0,Debt Consolidation,0.1343,193.26,18.22,990.9583333,3023,12.6,3,0,1,0
89,0,All Other,0.1186,49.72,14.31,539.9583333,0,0,1,1,0,0
90,0,Debt Consolidation,0.147,207.11,20,2614,15782,36.2,19,0,0,0
91,0,Educational,0.1249,100.35,14.25,2940,8143,60.3,8,0,0,0
92,0,Debt Consolidation,0.1628,303.55,11.38,2520,9221,98.1,4,2,0,0
93,0,All Other,0.1122,118.24,2.86,181,736,51.3,2,0,0,0
94,0,All Other,0.128,278.03,7.99,6210,2303,32.9,4,2,0,0
95,0,Debt Consolidation,0.1596,298.67,11.42,4050,3879,71.8,8,0,1,1
96,0,All Other,0.128,334.3,1.42,299.9583333,938,47.6,4,0,0,0
97,0,Debt Consolidation,0.1154,131.99,1.3,2910,258,86,2,0,0,1
98,0,Educational,0.1217,299.67,3.27,708.9583333,0,0,1,0,0,0
99,0,Small Business,0.1501,346.71,23.34,2190,3283,63.1,7,0,0,0
100,0,Debt Consolidation,0.1754,705.87,25.63,2670,35460,86.7,19,0,0,0
101,0,Debt Consolidation,0.1628,882.39,19.02,6390.041667,121719,60,5,0,0,1
102,1,Debt Consolidation,0.1284,50.43,23.09,4560.958333,31698,79.2,3,0,0,0
103,1,Debt Consolidation,0.1379,204.46,9.74,5521,41042,82.1,2,0,0,0
104,1,Debt Consolidation,0.1474,172.69,15.05,1380,9802,63.6,2,1,0,0
105,1,All Other,0.1505,173.46,14.04,5490,9952,97.6,1,0,0,0
106,1,All Other,0.1442,120.34,14.67,5249.958333,10455,95.3,3,1,0,1
107,1,Debt Consolidation,0.1537,418.16,8.51,4410,7494,94.9,1,0,0,0
108,1,Debt Consolidation,0.16,351.58,8.6,5220,9132,36.5,2,0,0,0
109,1,Small Business,0.1853,910.44,24.97,4290,96565,88.9,0,0,0,0
110,1,All Other,0.1379,85.19,14.93,5430,1838,73.5,0,0,0,0
111,1,Small Business,0.1474,268.53,13.59,2040,22556,73,0,0,0,0
112,1,Debt Consolidation,0.1474,448.98,16.39,2790,21124,87.3,3,0,0,0
113,1,All Other,0.1568,367.52,14.42,5490,24151,61.1,3,0,0,0
114,1,Educational,0.1379,163.57,16.93,4980,19146,33.9,3,0,0,0
115,1,Educational,0.16,112.51,6.3,1259.958333,1715,39.9,0,0,0,0
116,1,Debt Consolidation,0.1726,521.56,12.12,6961,67579,61,0,1,0,0
117,1,Small Business,0.2017,447.01,11.25,4530,3672,79.8,0,0,0,0
118,1,Major Purchase,0.1392,170.69,18.04,1950,7768,42.9,1,0,0,0
119,1,Debt Consolidation,0.1531,515.27,15.5,3629.958333,7237,45,1,1,0,1
120,1,Debt Consolidation,0.1531,522.23,12.15,5369.958333,37859,82.5,1,1,0,0
121,1,Educational,0.1565,279.89,7.34,2160.958333,6706,97.2,1,0,0,0
122,1,Debt Consolidation,0.2086,827.33,12.78,10169.95833,62553,44.2,2,0,0,0
123,1,Debt Consolidation,0.167,603.53,10.71,3989.958333,56896,97.4,2,0,1,0
124,1,Home Improvement,0.1392,40.97,11.87,4916.041667,9228,93.2,0,0,0,0
125,1,Debt Consolidation,0.1357,101.91,9.87,2099.958333,2229,82.6,2,0,0,0
126,0,Home Improvement,0.1312,135.01,7.91,5609.958333,9129,73.3,3,0,1,0
127,0,Educational,0.1249,33.45,5.21,2429.958333,1636,16.7,2,4,0,0
128,0,Educational,0.1533,139.31,20.12,2849,37318,75.4,1,0,0,0
129,0,Debt Consolidation,0.1501,34.68,20,1052,2484,35.4,2,0,0,0
130,0,Educational,0.1786,585.41,14.09,1140,1100,6,0,1,0,0
131,0,Educational,0.1474,538.78,24.89,6390.041667,67901,79.6,2,0,0,1
132,0,Debt Consolidation,0.1474,241.76,19.38,3810.041667,6907,51.9,5,0,0,0
133,0,All Other,0.1663,532.05,21.95,5250.041667,107611,89.1,6,0,0,1
134,0,Educational,0.167,426.02,9.62,3849.958333,7672,78.3,7,0,0,0
135,0,Debt Consolidation,0.1568,336.02,10.12,1920.041667,9611,40.6,5,0,0,1
136,1,All Other,0.1505,312.23,17.72,7080.041667,44313,93.5,2,0,0,1
137,1,Small Business,0.1505,520.37,17.72,7501.041667,12586,84.5,2,0,0,0
138,1,Debt Consolidation,0.1442,343.83,22.43,2877,9469,59.2,1,0,0,0
139,1,Small Business,0.1474,34.54,1.2,1860,437,9.7,0,1,0,0
140,1,Debt Consolidation,0.1537,522.7,18.12,9000.041667,17258,81.4,1,1,0,1
141,1,Debt Consolidation,0.1411,222.49,21.15,2640.041667,5518,34.9,2,1,0,0
142,1,Debt Consolidation,0.1568,227.51,15.87,2190,20341,85.1,0,0,0,0
143,1,Debt Consolidation,0.1505,138.77,7.67,3060.041667,17293,94.5,0,1,0,0
144,1,Debt Consolidation,0.1537,348.47,20.16,3090.041667,10393,78.7,3,0,0,0
145,1,Debt Consolidation,0.1411,205.38,19.67,3240,5155,56.6,1,0,0,1
146,1,All Other,0.1537,278.77,10.03,3390.041667,2646,22.2,2,0,0,0
147,1,Educational,0.1568,420.02,10.54,4860.041667,15187,87.3,0,1,0,0
148,1,Debt Consolidation,0.1537,69.7,15.45,4080,16181,96.3,1,1,0,0
149,1,Debt Consolidation,0.16,506.27,14.86,2880,8969,53.7,0,0,0,0
150,1,Debt Consolidation,0.1663,532.05,11.15,4410,13672,93.8,1,0,0,1
151,1,Debt Consolidation,0.1632,459.08,17.23,1470,6570,39.3,1,0,0,0
152,1,Debt Consolidation,0.1505,294.88,18.57,1830,8297,72.1,0,0,0,1
153,0,Debt Consolidation,0.1533,364.82,11.76,1019.958333,12274,66.3,2,0,0,0
154,0,Debt Consolidation,0.1375,170.29,0,1230,0,0,1,1,0,1
155,1,Debt Consolidation,0.1496,291.02,13.92,5370,9713,63.5,1,1,0,0
156,1,All Other,0.1357,50.96,20.6,9840,19112,82,1,0,0,0
157,1,All Other,0.1774,734.83,6.84,1830,1820,42.3,2,1,0,1
158,1,Debt Consolidation,0.16,534.4,13.91,5460,21756,75.7,0,1,0,0
159,1,All Other,0.1565,139.95,3.42,1710,894,59.6,1,0,0,0
160,1,Home Improvement,0.1565,69.98,6.61,2709.041667,0,0,1,0,0,0
161,1,Educational,0.1426,171.53,12.18,2670.041667,28370,40.3,2,0,0,0
162,1,All Other,0.1426,137.23,9.92,5100,2822,37.1,1,0,0,0
163,1,Debt Consolidation,0.1531,348.16,18.6,4980.041667,9092,68.4,1,0,0,0
164,1,Debt Consolidation,0.16,527.36,10.08,4410,16486,52.7,0,0,0,0
165,1,Major Purchase,0.1774,288.17,8.91,1200.041667,1825,67.6,3,1,0,0
166,1,All Other,0.1913,293.77,11.79,4410,17267,29.1,3,0,0,0
167,1,Debt Consolidation,0.1426,171.53,8.17,4289.958333,9685,43.2,1,0,0,0
168,1,All Other,0.1947,737.94,0.98,6419.958333,29518,97.4,0,0,0,0
169,1,Debt Consolidation,0.1426,111.5,19.2,4264.958333,9625,49.1,2,0,0,0
170,1,Small Business,0.1843,305.51,4.18,1800,3244,73.7,1,0,0,0
171,1,All Other,0.1531,97.49,6.8,1110,456,22.8,1,2,0,0
172,1,Debt Consolidation,0.1531,417.79,5.59,1830,6804,74,1,0,0,0
173,1,All Other,0.16,140.63,19.63,1470,5277,97.7,1,0,0,0
174,1,Debt Consolidation,0.1565,195.93,6.94,7229.958333,9044,93.2,0,0,0,0
175,1,Debt Consolidation,0.1496,173.23,11.92,3569.958333,21753,90.6,2,1,0,0
176,1,Debt Consolidation,0.167,674.53,19.87,3904.958333,17176,73.4,1,0,0,1
177,1,Debt Consolidation,0.1531,348.16,14.83,1769.958333,6922,74.4,2,0,0,0
178,1,Small Business,0.1565,174.94,8.14,1320.958333,20111,50.8,3,0,0,0
179,1,Home Improvement,0.1809,361.96,21.69,3330,67776,98.2,2,0,0,0
180,1,Debt Consolidation,0.1635,671.26,21.5,10499.95833,83317,72.2,0,0,0,0
181,0,Debt Consolidation,0.1343,339.02,4.78,3720.041667,7455,93.2,1,2,0,0
182,0,Debt Consolidation,0.1438,412.35,19.49,2340.041667,5191,48.1,14,0,0,1
183,0,Debt Consolidation,0.1312,270.02,11.32,1410,3919,37.7,15,0,0,0
184,0,Home Improvement,0.1786,902.06,17.64,4230.041667,44827,80.4,14,0,0,1
185,0,All Other,0.1249,83.63,16.19,5070,16027,64.6,5,0,0,0
186,0,Educational,0.1501,495.79,12.76,3270,5830,64.1,1,0,0,1
187,0,Debt Consolidation,0.1501,350.17,21.81,3180.041667,7897,75.2,3,0,0,1
188,0,Debt Consolidation,0.152,443.24,17.08,5280.041667,12951,83,1,0,1,0
189,1,Debt Consolidation,0.1355,288.66,17.56,1889,17488,90.6,1,0,0,0
190,1,All Other,0.1734,895.56,18.8,11520.04167,14706,77,0,2,0,0
191,1,All Other,0.1324,338.1,10.9,2009.041667,10055,54.9,3,0,1,0
192,1,All Other,0.1355,407.52,8.32,3060.041667,22044,81.6,0,0,0,0
193,1,Debt Consolidation,0.1513,680.69,19.36,2669.958333,20658,55.4,0,0,0,0
194,1,All Other,0.1292,269.25,1.39,4446.958333,2692,49.9,3,0,0,0
195,1,Debt Consolidation,0.1229,50.03,4.18,2850,0,0,3,0,0,0
196,1,Debt Consolidation,0.1229,23.35,12.38,1199.958333,0,53.2,1,0,0,0
197,1,Debt Consolidation,0.1355,339.6,10.14,4620,3608,37.6,1,1,0,0
198,1,All Other,0.1703,249.68,16.53,5189.958333,1349,8.3,3,3,0,0
199,1,Home Improvement,0.1576,350.39,13.56,3450,2076,23.1,2,0,0,0
200,1,Debt Consolidation,0.1608,387.17,19.96,6599.958333,19608,31.1,1,0,0,1
201,1,Debt Consolidation,0.1292,168.28,9.41,11039.95833,4652,89.5,1,1,0,0
202,1,Debt Consolidation,0.1387,327.5,18.62,6299.958333,68030,82.7,3,0,0,0
203,1,Debt Consolidation,0.145,289.14,20.59,1680,19056,69,0,0,0,0
204,1,Small Business,0.1292,164.08,9.06,6629.958333,20644,90.5,1,1,0,0
205,1,Debt Consolidation,0.1387,255.86,19.24,1601.958333,10748,90.3,0,0,0,0
206,1,Debt Consolidation,0.1355,254.7,16.46,4439.958333,13779,59.4,1,0,0,0
207,1,Educational,0.1545,209.32,24.03,2339.958333,6668,40.9,1,0,0,0
208,1,All Other,0.1324,253.58,5.78,10080,23611,32.7,0,2,0,0
209,1,Debt Consolidation,0.1324,169.05,13.28,5609.958333,9816,65.4,0,1,0,0
210,0,Debt Consolidation,0.1393,187.8,19.34,2789.041667,3266,46,6,0,0,0
211,0,Debt Consolidation,0.133,169.2,16.88,5129,2229,51.8,1,7,0,0
212,0,Debt Consolidation,0.1615,450.96,20.2,3390.041667,18511,72.6,0,0,0,0
213,0,Small Business,0.1299,134.76,6.78,7020.041667,0,0,0,2,0,0
214,0,Debt Consolidation,0.133,203.04,5.13,3179.041667,75,37.5,8,0,0,1
215,1,Educational,0.1357,203.82,10.84,2670,3962,56.6,1,0,0,0
216,1,All Other,0.1537,174.24,4.23,3869.958333,5239,22.6,1,1,0,0
217,0,Small Business,0.1545,401.2,7.9,727,1509,30.8,7,0,0,1
218,0,All Other,0.1229,80.05,0,539.0416667,0,0,5,0,0,0
219,0,All Other,0.1229,50.03,14.12,660.0416667,669,7.5,1,0,0,0
220,0,All Other,0.1324,20.29,22.03,750,195,65,0,0,0,0
221,0,Debt Consolidation,0.1418,493.42,17.93,929.0416667,11569,64.3,1,0,0,1
222,0,Debt Consolidation,0.1861,451.19,29.7,5760.041667,35447,96.9,8,0,0,0
223,0,Home Improvement,0.1261,120.63,7.94,4169.041667,5316,48.3,13,0,0,0
224,0,Home Improvement,0.1418,513.98,10.47,2610,1298,12.1,4,1,0,0
225,0,All Other,0.1292,201.94,6.94,1800,6934,75.4,12,0,1,1
226,0,Small Business,0.1292,100.97,15.73,1904,7784,65.4,24,0,0,0
227,1,Debt Consolidation,0.1537,374.6,23.33,3391.958333,21765,78.9,0,0,0,0
228,1,All Other,0.1758,718.84,16.93,3659.958333,18606,67.5,0,1,0,0
229,1,All Other,0.16,281.26,2.31,1800,3292,58.8,1,1,0,0
230,1,Small Business,0.1663,567.52,0.26,3329.958333,438,4.6,3,0,0,0
231,1,All Other,0.1474,51.81,1.04,2130,1781,59.4,3,0,0,1
232,1,All Other,0.1505,190.81,12.7,3719.958333,1953,57.4,2,1,0,0
233,1,Major Purchase,0.1505,156.12,11.56,3630,0,0,1,2,1,0
234,1,Debt Consolidation,0.1568,420.02,4.04,3389.958333,7805,41.9,0,0,0,0
235,1,Debt Consolidation,0.1568,210.01,23.35,3870,7160,62.3,1,0,0,0
236,1,Debt Consolidation,0.1632,141.26,20.89,5669.958333,34008,98.3,0,0,0,0
237,1,All Other,0.1505,138.77,19.75,2341.958333,555,3.9,2,1,0,0
238,1,Debt Consolidation,0.1682,675.68,18.41,4890.041667,9246,85.6,2,0,1,0
239,1,All Other,0.1442,51.58,12.04,3719.958333,2287,47.6,1,0,0,1
240,1,Debt Consolidation,0.1537,334.53,17.04,5580.958333,22875,86,0,0,0,0
241,1,Debt Consolidation,0.1632,439.66,12.5,1470,7722,82.1,2,0,0,0
242,1,Small Business,0.2086,902.54,20.92,6300.041667,45414,98.3,0,1,0,0
243,1,Debt Consolidation,0.16,215.34,16.25,4859.958333,5636,49.9,2,1,0,0
244,0,Educational,0.1425,171.5,17.22,4199.041667,2347,24.7,1,1,0,1
245,0,Debt Consolidation,0.1551,418.99,15.38,1860,11214,70.1,0,0,0,0
246,0,Home Improvement,0.1804,202.57,25.84,1799,10147,89.8,0,0,0,1
247,0,Debt Consolidation,0.1362,84.99,10.65,11190.04167,3257,59.2,0,0,0,0
248,0,Debt Consolidation,0.1488,276.86,16.91,3750.041667,13128,25.6,10,0,0,0
249,0,Debt Consolidation,0.1804,682.76,16.28,1590.041667,2253,62.6,4,0,0,0
250,0,Small Business,0.1886,245.13,25.76,3539.958333,31939,82.7,4,0,0,0
251,0,All Other,0.1538,51.41,21.66,3509.958333,3975,81.1,4,0,0,0
252,0,Debt Consolidation,0.1791,86.66,2.45,720,1601,50,3,0,0,0
253,1,Debt Consolidation,0.1496,372.44,22.45,3367.041667,15146,77.3,1,1,0,0
254,1,Debt Consolidation,0.1461,344.76,20.2,3450.041667,10172,59.1,1,0,0,0
255,1,Debt Consolidation,0.1843,909.25,10.04,3660,1066,20.5,0,0,0,1
256,1,Debt Consolidation,0.1496,443.46,9.37,2940,1142,11.8,0,0,0,0
257,1,All Other,0.1635,388.63,12.93,2580,5814,96.9,1,0,0,0
258,1,Debt Consolidation,0.1459,130.97,19.29,6316.041667,17012,91,1,1,0,1
259,1,Debt Consolidation,0.1154,158.38,18.19,2586,409,81.8,0,1,0,0
260,1,Debt Consolidation,0.1154,263.97,8.04,3089,1019,4.5,1,1,0,0
261,1,All Other,0.1091,130.79,8.92,1140,3614,61.3,1,0,0,0
262,1,Debt Consolidation,0.1217,319.64,19.28,4740,10358,91.7,2,0,1,1
263,1,Debt Consolidation,0.1217,399.55,14.5,1950.041667,9273,43.9,0,0,0,0
264,1,Debt Consolidation,0.1186,232.04,17.02,4380,6718,94.6,3,0,0,0
265,1,Home Improvement,0.1407,764.64,3.66,5790,10753,52.3,2,3,0,1
266,1,Debt Consolidation,0.1438,687.25,15.7,3690,9150,96.3,0,0,0,0
267,1,Debt Consolidation,0.1122,197.06,0,2519,0,0,1,1,0,0
268,1,All Other,0.1362,339.94,1.21,2519,0,0,0,1,0,0
269,1,Debt Consolidation,0.1172,165.41,0,2520,2126,6.4,1,0,0,0
270,1,Small Business,0.1488,346.07,23.89,7260,10214,65.1,1,2,1,0
271,1,Debt Consolidation,0.1425,685.99,2.1,3870.041667,19892,83.6,2,0,0,0
272,1,Debt Consolidation,0.1324,405.72,15.12,5760.041667,27905,81.8,1,2,0,0
273,1,Debt Consolidation,0.1496,528.34,24.08,5039.958333,22240,84.2,0,0,0,0
274,1,Debt Consolidation,0.1461,275.81,13.36,4349.958333,2884,96.8,2,0,0,1
275,1,Small Business,0.1392,307.24,9.19,2069.958333,40,1,2,0,0,0
276,1,Debt Consolidation,0.1392,187.76,21.48,6630,62680,84.5,1,0,0,0
277,1,Debt Consolidation,0.1357,407.63,10.46,8339.958333,7259,59,0,0,1,0
278,1,Debt Consolidation,0.1322,135.21,14.13,5759.958333,9874,62.5,1,0,0,0
279,1,All Other,0.1322,84.51,19.68,5399.958333,20241,66.4,1,0,0,0
280,1,Debt Consolidation,0.1496,173.23,12.71,5789.958333,32549,95.5,0,0,0,0
281,1,Debt Consolidation,0.1392,273.1,6.42,5789.958333,12897,47.8,0,3,0,0
282,1,Debt Consolidation,0.16,527.36,5.72,1440,10472,51.1,1,0,0,0
283,1,Debt Consolidation,0.1426,343.06,4.27,5070,4848,56.4,3,0,0,0
284,1,All Other,0.167,514.77,7.54,1230.041667,5465,80.4,2,0,0,1
285,1,Debt Consolidation,0.1531,278.53,0.49,3030.041667,858,66,2,0,0,1
286,1,Debt Consolidation,0.1357,169.85,10.71,5190.041667,179,44.7,2,1,0,0
287,1,Home Improvement,0.1565,524.8,9.47,7440.041667,0,0,0,0,0,0
288,1,Debt Consolidation,0.1565,559.78,12.94,4560.041667,10728,91.7,2,1,1,0
289,1,Debt Consolidation,0.1461,448.18,21.39,2430,14021,71.9,0,0,0,0
290,1,Debt Consolidation,0.1426,377.37,22.84,5250.041667,16665,60.6,1,0,0,0
291,1,All Other,0.1426,343.06,8.95,4758,1459,26.1,1,0,0,0
292,1,Major Purchase,0.1426,343.06,15.74,4410.041667,29344,57.1,2,0,0,0
293,1,Debt Consolidation,0.06,380.27,9.98,5705.041667,10844,68.6,3,1,0,0
294,1,Debt Consolidation,0.1357,237.78,12.55,2640.041667,3964,55.8,1,0,0,0
295,1,All Other,0.1287,67.27,17.21,2580,2360,59,0,3,0,0
296,1,Debt Consolidation,0.1531,188.01,11.33,1710,3600,94.7,0,0,0,0
297,1,Debt Consolidation,0.1531,557.05,20.64,1800,11725,54.8,1,0,0,1
298,1,All Other,0.1287,50.45,8.52,8820.041667,1506,37.6,0,2,0,0
299,1,All Other,0.1357,101.91,10.19,1710,4041,87.8,2,0,0,0
300,1,Educational,0.1357,285.34,21.34,6270.041667,55072,87.8,0,0,0,0
301,1,All Other,0.1357,326.1,13.2,4050,9164,47,1,0,0,0
302,1,Educational,0.1287,100.9,3.89,3150.041667,1366,85.4,1,0,0,0
303,1,Major Purchase,0.1461,310.28,15.44,3690,3971,58.4,0,0,0,1
304,1,Educational,0.1322,135.21,13.69,1920.041667,8661,68.2,2,0,1,0
305,1,Debt Consolidation,0.1287,134.54,22.55,1920.041667,7679,38.8,1,0,0,0
306,1,Home Improvement,0.1322,101.41,22.74,5310.041667,8109,33,1,0,0,0
307,0,Debt Consolidation,0.1607,114.38,16.64,5910,11854,71.9,7,0,1,0
308,0,All Other,0.1671,113.63,28.06,3210.041667,25759,63.8,5,0,0,1
309,0,All Other,0.1461,344.76,10.39,10474,215372,82.1,2,0,0,1
310,1,Debt Consolidation,0.1411,164.3,14.67,1394,8038,51.5,0,0,0,0
311,1,Debt Consolidation,0.1632,353.14,20.55,4799.958333,3996,97.5,0,0,1,1
312,1,Debt Consolidation,0.1537,139.39,23.83,1139.958333,4071,78.3,0,0,0,0
313,1,All Other,0.1442,192.55,6.09,2279.958333,3805,48.8,2,0,0,0
314,1,Debt Consolidation,0.16,457.05,11.08,2939.958333,2350,63.5,0,0,0,0
315,1,Debt Consolidation,0.1474,138.15,14.72,3480,2229,58.7,3,0,0,0
316,1,Small Business,0.1663,425.64,15.46,5219.958333,24249,97,1,1,0,0
317,1,Major Purchase,0.1442,51.58,19.85,4320,15198,84,0,0,0,0
318,1,Educational,0.1411,136.92,15.63,4469.958333,6855,53.6,0,0,0,0
319,1,Small Business,0.16,158.21,17.48,1320,1404,93.6,3,0,0,0
320,1,All Other,0.1316,50.66,17.26,3457.958333,2694,72.8,1,0,1,1
321,1,Small Business,0.1411,367.97,14.98,3389.958333,26333,77.2,0,0,0,0
322,1,All Other,0.1379,170.38,19.11,2309.958333,21391,87.6,1,0,0,0
