,Transaction_Id,Legal_Entity,Country,Correspondent_Name,Correspondent_Account,Counterparty,Settlement_Currency,Transaction_Date,Settlement_Date,Settlement_Time,Status,Direction,Settlement_Amount,Net_Settlement_Amount,Opening_Balance,Available,Expected,Processing,Anticipated,Collateral,Outlook_Amount,Forecast_Amount
19,TXN2021101501639402A1,UK_PLC,UNITED KINGDOM,"China Construction Bank (Asia) Corporation Limited, Hong Kong",ATOTI-0032,Standard Chartered,GBP,2021-10-15,2021-10-15,00:00:00,Open party,IN,1345743.8500000003,1345743.8500000003,1345743.8500000003,1345743.8500000003,,,,,1345743.8500000003,1345743.8500000003
20,TXN2021101501639403A1,EU_BRANCH,FRANCE,Account 13,RAND-0013,Argenta,EUR,2021-10-15,2021-10-15,00:00:00,Open posn,IN,1809924.440000001,1809924.440000001,1809924.440000001,1809924.440000001,,,,,1809924.440000001,1809924.440000001
21,TXN2021101501639404A1,JP_BRANCH,JAPAN,Account 8,RAND-0026,Standard Chartered,JPY,2021-10-15,2021-10-15,00:00:00,Open party,IN,284805650.7199999,284805650.7199999,284805650.7199999,284805650.7199999,,,,,284805650.7199999,284805650.7199999
22,TXN2021101501639405A1,JP_BRANCH,JAPAN,"Australia and New Zealand Banking Group Limited, Australia",ATOTI-0030,Julius Baer Group,JPY,2021-10-15,2021-10-15,00:00:00,Open party,IN,303883919.42000014,303883919.42000014,303883919.42000014,303883919.42000014,,,,,303883919.42000014,303883919.42000014
23,TXN2021101501639406A1,US_BRANCH,UNITED STATES,MUFG Bank ltd,ATOTI-0042,Macquarie Bank,USD,2021-10-15,2021-10-15,00:00:00,Open posn,IN,2029248.8500000024,2029248.8500000024,2029248.8500000024,2029248.8500000024,,,,,2029248.8500000024,2029248.8500000024
24,TXN2021101501639407A1,EU_BRANCH,BELGIUM,Barclays,ATOTI-0016,Wells Fargo,EUR,2021-10-15,2021-10-15,00:00:00,Open party,IN,2168209.7299999967,2168209.7299999967,2168209.7299999967,2168209.7299999967,,,,,2168209.7299999967,2168209.7299999967
25,TXN2021101501639408A1,HK_BRANCH,HONG KONG,Account 6,RAND-0024,Standard Chartered,HKD,2021-10-15,2021-10-15,00:00:00,Open party,IN,15667735.890000014,15667735.890000014,15667735.890000014,15667735.890000014,,,,,15667735.890000014,15667735.890000014
26,TXN2021101501639409A1,CH_BRANCH,HONG KONG,CMB Wing Lung Bank Ltd,6011950999,Sumitomo Mitsui Financial Group,HKD,2021-10-15,2021-10-15,00:00:00,Open posn,IN,15434866.660000024,15434866.660000024,15434866.660000024,15434866.660000024,,,,,15434866.660000024,15434866.660000024
27,TXN2021101501639410A1,EU_BRANCH,FRANCE,Account 15,RAND-0015,Sumitomo Mitsui Financial Group,EUR,2021-10-15,2021-10-15,00:00:00,Open party,IN,1807396.8600000015,1807396.8600000015,1807396.8600000015,1807396.8600000015,,,,,1807396.8600000015,1807396.8600000015
28,TXN2021101501639411A1,AU_BRANCH,UNITED KINGDOM,"Barclays Bank PLC, London",20325555629413,Standard Chartered,GBP,2021-10-15,2021-10-15,00:00:00,Open posn,IN,1467871.8699999996,1467871.8699999996,1467871.8699999996,1467871.8699999996,,,,,1467871.8699999996,1467871.8699999996
29,TXN2021101501639412A1,US_BRANCH,SWITZERLAND,"UBS AG, Zurich",06660000087750050000P,Wells Fargo,CHF,2021-10-15,2021-10-15,00:00:00,Open posn,IN,1458245.09,1458245.09,1458245.09,1458245.09,,,,,1458245.09,1458245.09
30,TXN2021101501639413A1,US_BRANCH,UNITED KINGDOM,Lloyds Bank plc,14441004,Argenta,GBP,2021-10-15,2021-10-15,00:00:00,Open posn,IN,1728778.7999999998,1728778.7999999998,1728778.7999999998,1728778.7999999998,,,,,1728778.7999999998,1728778.7999999998
31,TXN2021101501639414A1,US_BRANCH,GERMANY,"Deutsche Bank AG, Frankfurt am Main",100 8885417 1000,Wells Fargo,EUR,2021-10-15,2021-10-15,00:00:00,Open party,IN,1585932.2699999996,1585932.2699999996,1585932.2699999996,1585932.2699999996,,,,,1585932.2699999996,1585932.2699999996
32,TXN2021101501639415A1,HK_BRANCH,HONG KONG,NORDEA,ATOTI-0024,Sumitomo Mitsui Financial Group,HKD,2021-10-15,2021-10-15,00:00:00,Open party,IN,14830998.419999989,14830998.419999989,14830998.419999989,14830998.419999989,,,,,14830998.419999989,14830998.419999989
33,TXN2021101501639416A1,US_BRANCH,UNITED STATES,Account 2,RAND-0038,Commerzbank,USD,2021-10-15,2021-10-15,00:00:00,Open party,IN,2311887.85,2311887.85,2311887.85,2311887.85,,,,,2311887.85,2311887.85
34,TXN2021101501639417A1,HK_BRANCH,HONG KONG,Account 4,RAND-0022,HSBC Hong Kong,HKD,2021-10-15,2021-10-15,00:00:00,Open party,IN,13265107.38,13265107.38,13265107.38,13265107.38,,,,,13265107.38,13265107.38
35,TXN2021101501639418A1,HK_BRANCH,HONG KONG,Account 1,RAND-0019,Sumitomo Mitsui Financial Group,HKD,2021-10-15,2021-10-15,00:00:00,Open posn,IN,16770336.599999985,16770336.599999985,16770336.599999985,16770336.599999985,,,,,16770336.599999985,16770336.599999985
36,TXN2021101501639419A1,JP_BRANCH,JAPAN,Account 9,RAND-0027,Commerzbank,JPY,2021-10-15,2021-10-15,00:00:00,Open posn,IN,273103321.1799997,273103321.1799997,273103321.1799997,273103321.1799997,,,,,273103321.1799997,273103321.1799997
37,TXN2021101501639420A1,US_BRANCH,UNITED STATES,"Westpac Banking Corporation, Sydney",ATOTI-0041,Argenta,USD,2021-10-15,2021-10-15,00:00:00,Open posn,IN,1499608.3900000025,1499608.3900000025,1499608.3900000025,1499608.3900000025,,,,,1499608.3900000025,1499608.3900000025
38,TXN2021101501639421A1,EU_BRANCH,UNITED KINGDOM,"Barclays Bank PLC, London",20325555629413,Commerzbank,GBP,2021-10-15,2021-10-15,00:00:00,Open party,IN,1490218.100000001,1490218.100000001,1490218.100000001,1490218.100000001,,,,,1490218.100000001,1490218.100000001
39,TXN2021101501639422A1,HK_BRANCH,HONG KONG,DEXIA,ATOTI-0019,Julius Baer Group,HKD,2021-10-15,2021-10-15,00:00:00,Open party,IN,15148480.760000017,15148480.760000017,15148480.760000017,15148480.760000017,,,,,15148480.760000017,15148480.760000017
40,TXN2021101501639423A1,JP_BRANCH,UNITED KINGDOM,Lloyds Bank plc,14441004,Julius Baer Group,GBP,2021-10-15,2021-10-15,00:00:00,Open party,IN,1761063.2099999986,1761063.2099999986,1761063.2099999986,1761063.2099999986,,,,,1761063.2099999986,1761063.2099999986
41,TXN2021101501639424A1,HK_BRANCH,SWITZERLAND,"UBS AG, Zurich",06660000087750050000P,Macquarie Bank,CHF,2021-10-15,2021-10-15,00:00:00,Open party,IN,1815281.7699999984,1815281.7699999984,1815281.7699999984,1815281.7699999984,,,,,1815281.7699999984,1815281.7699999984
42,TXN2021101501639425A1,UK_PLC,UNITED KINGDOM,Account 16,RAND-0034,Julius Baer Group,GBP,2021-10-15,2021-10-15,00:00:00,Open posn,IN,1415501.5800000008,1415501.5800000008,1415501.5800000008,1415501.5800000008,,,,,1415501.5800000008,1415501.5800000008
43,TXN2021101501639426A1,EU_BRANCH,BELGIUM,Account 16,RAND-0016,HSBC Hong Kong,EUR,2021-10-15,2021-10-15,00:00:00,Open posn,IN,1879138.93,1879138.93,1879138.93,1879138.93,,,,,1879138.93,1879138.93
44,TXN2021101501639427A1,UK_PLC,BELGIUM,ING Bank NV/SA,BE363011110005781,Argenta,EUR,2021-10-15,2021-10-15,00:00:00,Open posn,IN,1742159.7000000002,1742159.7000000002,1742159.7000000002,1742159.7000000002,,,,,1742159.7000000002,1742159.7000000002
45,TXN2021101501639428A1,AU_BRANCH,HONG KONG,CMB Wing Lung Bank Ltd,6011950999,Argenta,HKD,2021-10-15,2021-10-15,00:00:00,Open posn,IN,14960979.089999976,14960979.089999976,14960979.089999976,14960979.089999976,,,,,14960979.089999976,14960979.089999976
46,TXN2021101501639429A1,JP_BRANCH,JAPAN,Account 7,RAND-0025,Sumitomo Mitsui Financial Group,JPY,2021-10-15,2021-10-15,00:00:00,Open posn,IN,253941436.06000015,253941436.06000015,253941436.06000015,253941436.06000015,,,,,253941436.06000015,253941436.06000015
47,TXN2021101501639430A1,CH_BRANCH,AUSTRALIA,"Westpac Banking Corporation, Sydney",ATOTI-0012,Sumitomo Mitsui Financial Group,CHF,2021-10-15,2021-10-15,00:00:00,Open party,IN,1701250.6799999992,1701250.6799999992,1701250.6799999992,1701250.6799999992,,,,,1701250.6799999992,1701250.6799999992
48,TXN2021101501639431A1,UK_PLC,UNITED KINGDOM,"Barclays Bank PLC, London",ATOTI-0031,Wells Fargo,GBP,2021-10-15,2021-10-15,00:00:00,Open party,IN,1849688.6600000013,1849688.6600000013,1849688.6600000013,1849688.6600000013,,,,,1849688.6600000013,1849688.6600000013
49,TXN2021101501639432A1,UK_PLC,UNITED KINGDOM,"Citibank NA, New York",ATOTI-0033,Société Générale,GBP,2021-10-15,2021-10-15,00:00:00,Open posn,IN,1313135.4299999997,1313135.4299999997,1313135.4299999997,1313135.4299999997,,,,,1313135.4299999997,1313135.4299999997
50,TXN2021101501639433A1,US_BRANCH,UNITED STATES,Account 3,RAND-0039,Standard Chartered,USD,2021-10-15,2021-10-15,00:00:00,Open party,IN,2081377.8799999992,2081377.8799999992,2081377.8799999992,2081377.8799999992,,,,,2081377.8799999992,2081377.8799999992
51,TXN2021101501639434A1,UK_PLC,UNITED KINGDOM,Account 18,RAND-0036,Standard Chartered,GBP,2021-10-15,2021-10-15,00:00:00,Open posn,IN,1357502.5199999982,1357502.5199999982,1357502.5199999982,1357502.5199999982,,,,,1357502.5199999982,1357502.5199999982
52,TXN2021101501639435A1,CH_BRANCH,AUSTRALIA,"J.P Morgan Chase Bank, New York",ATOTI-0007,Argenta,CHF,2021-10-15,2021-10-15,00:00:00,Open posn,IN,2060809.279999999,2060809.279999999,2060809.279999999,2060809.279999999,,,,,2060809.279999999,2060809.279999999
53,TXN2021101501639436A1,UK_PLC,UNITED KINGDOM,"Credit Suisse AG, Zurich",ATOTI-0035,Macquarie Bank,GBP,2021-10-15,2021-10-15,00:00:00,Open posn,IN,1622727.360000001,1622727.360000001,1622727.360000001,1622727.360000001,,,,,1622727.360000001,1622727.360000001
54,TXN2021101501639437A1,EU_BRANCH,FRANCE,MUFG Bank ltd,ATOTI-0013,Standard Chartered,EUR,2021-10-15,2021-10-15,00:00:00,Open party,IN,2040013.01,2040013.01,2040013.01,2040013.01,,,,,2040013.01,2040013.01
55,TXN2021101501639438A1,CH_BRANCH,AUSTRALIA,Mizuho Bank Limited,ATOTI-0011,Wells Fargo,CHF,2021-10-15,2021-10-15,00:00:00,Open posn,IN,2133153.7000000016,2133153.7000000016,2133153.7000000016,2133153.7000000016,,,,,2133153.7000000016,2133153.7000000016
56,TXN2021101501639439A1,EU_BRANCH,AUSTRALIA,"Westpac Banking Corporation, Sydney",ATO0001978,Argenta,AUD,2021-10-15,2021-10-15,00:00:00,Open party,IN,2347325.740000002,2347325.740000002,2347325.740000002,2347325.740000002,,,,,2347325.740000002,2347325.740000002
57,TXN2021101501639440A1,EU_BRANCH,HONG KONG,CMB Wing Lung Bank Ltd,6011950999,Argenta,HKD,2021-10-15,2021-10-15,00:00:00,Open posn,IN,16186336.640000006,16186336.640000006,16186336.640000006,16186336.640000006,,,,,16186336.640000006,16186336.640000006
58,TXN2021101501639441A1,AU_BRANCH,AUSTRALIA,Account 6,RAND-0006,Société Générale,AUD,2021-10-15,2021-10-15,00:00:00,Open party,IN,2678101.6300000013,2678101.6300000013,2678101.6300000013,2678101.6300000013,,,,,2678101.6300000013,2678101.6300000013
59,TXN2021101501639442A1,CH_BRANCH,UNITED STATES,"J.P Morgan Chase Bank, New York",987777175,HSBC Hong Kong,USD,2021-10-15,2021-10-15,00:00:00,Open posn,IN,2022254.7699999977,2022254.7699999977,2022254.7699999977,2022254.7699999977,,,,,2022254.7699999977,2022254.7699999977
60,TXN2021101501639443A1,AU_BRANCH,AUSTRALIA,"Australia and New Zealand Banking Group Limited, Australia",ATOTI-0001,Argenta,AUD,2021-10-15,2021-10-15,00:00:00,Open posn,IN,2673779.009999999,2673779.009999999,2673779.009999999,2673779.009999999,,,,,2673779.009999999,2673779.009999999
61,TXN2021101501639444A1,CH_BRANCH,AUSTRALIA,Account 10,RAND-0010,Julius Baer Group,CHF,2021-10-15,2021-10-15,00:00:00,Open posn,IN,1880520.3899999976,1880520.3899999976,1880520.3899999976,1880520.3899999976,,,,,1880520.3899999976,1880520.3899999976
62,TXN2021101501639445A1,HK_BRANCH,HONG KONG,Account 5,RAND-0023,HSBC Hong Kong,HKD,2021-10-15,2021-10-15,00:00:00,Open party,IN,16107184.879999995,16107184.879999995,16107184.879999995,16107184.879999995,,,,,16107184.879999995,16107184.879999995
63,TXN2021101501639446A1,EU_BRANCH,GERMANY,HSBC,ATOTI-0018,Standard Chartered,EUR,2021-10-15,2021-10-15,00:00:00,Open posn,IN,1774171.9700000004,1774171.9700000004,1774171.9700000004,1774171.9700000004,,,,,1774171.9700000004,1774171.9700000004
64,TXN2021101501639447A1,AU_BRANCH,AUSTRALIA,"Citibank NA, New York",ATOTI-0004,Société Générale,AUD,2021-10-15,2021-10-15,00:00:00,Open posn,IN,2769105.9799999986,2769105.9799999986,2769105.9799999986,2769105.9799999986,,,,,2769105.9799999986,2769105.9799999986
65,TXN2021101501639448A1,HK_BRANCH,HONG KONG,Abbey,ATOTI-0021,Société Générale,HKD,2021-10-15,2021-10-15,00:00:00,Open party,IN,15322403.210000005,15322403.210000005,15322403.210000005,15322403.210000005,,,,,15322403.210000005,15322403.210000005
66,TXN2021101501639449A1,CH_BRANCH,AUSTRALIA,Account 11,RAND-0011,Standard Chartered,CHF,2021-10-15,2021-10-15,00:00:00,Open party,IN,1870761.52,1870761.52,1870761.52,1870761.52,,,,,1870761.52,1870761.52
67,TXN2021101501639450A1,CH_BRANCH,AUSTRALIA,ING Bank NV/SA,ATOTI-0009,Standard Chartered,CHF,2021-10-15,2021-10-15,00:00:00,Open posn,IN,1700180.39,1700180.39,1700180.39,1700180.39,,,,,1700180.39,1700180.39
68,TXN2021101501639451A1,EU_BRANCH,GERMANY,Account 18,RAND-0018,Wells Fargo,EUR,2021-10-15,2021-10-15,00:00:00,Open posn,IN,2062274.54,2062274.54,2062274.54,2062274.54,,,,,2062274.54,2062274.54
69,TXN2021101501639452A1,UK_PLC,UNITED STATES,"Citibank NA, New York",36266668,Sumitomo Mitsui Financial Group,USD,2021-10-15,2021-10-15,00:00:00,Open party,IN,2252254.9100000006,2252254.9100000006,2252254.9100000006,2252254.9100000006,,,,,2252254.9100000006,2252254.9100000006
70,TXN2021101501639453A1,CH_BRANCH,AUSTRALIA,Account 7,RAND-0007,HSBC Hong Kong,CHF,2021-10-15,2021-10-15,00:00:00,Open posn,IN,1940672.3099999991,1940672.3099999991,1940672.3099999991,1940672.3099999991,,,,,1940672.3099999991,1940672.3099999991
71,TXN2021101501639454A1,UK_PLC,HONG KONG,"China Construction Bank (Asia) Corporation Limited, Hong Kong",4444 3007 5500,Société Générale,HKD,2021-10-15,2021-10-15,00:00:00,Open party,IN,17490521.559999984,17490521.559999984,17490521.559999984,17490521.559999984,,,,,17490521.559999984,17490521.559999984
72,TXN2021101501639455A1,US_BRANCH,UNITED STATES,"Deutsche Bank AG, Frankfurt am Main",ATOTI-0037,Standard Chartered,USD,2021-10-15,2021-10-15,00:00:00,Open posn,IN,1604821.2700000035,1604821.2700000035,1604821.2700000035,1604821.2700000035,,,,,1604821.2700000035,1604821.2700000035
73,TXN2021101501639456A1,HK_BRANCH,HONG KONG,RBS,ATOTI-0023,Macquarie Bank,HKD,2021-10-15,2021-10-15,00:00:00,Open party,IN,15163108.300000006,15163108.300000006,15163108.300000006,15163108.300000006,,,,,15163108.300000006,15163108.300000006
74,TXN2021101501639457A1,JP_BRANCH,JAPAN,Lloyds,ATOTI-0025,Julius Baer Group,JPY,2021-10-15,2021-10-15,00:00:00,Open party,IN,274714430.33000034,274714430.33000034,274714430.33000034,274714430.33000034,,,,,274714430.33000034,274714430.33000034
75,TXN2021101501639458A1,EU_BRANCH,FRANCE,Account 14,RAND-0014,Julius Baer Group,EUR,2021-10-15,2021-10-15,00:00:00,Open posn,IN,1999360.109999999,1999360.109999999,1999360.109999999,1999360.109999999,,,,,1999360.109999999,1999360.109999999
76,TXN2021101501639459A1,US_BRANCH,UNITED STATES,Lloyds Bank plc,ATOTI-0039,Société Générale,USD,2021-10-15,2021-10-15,00:00:00,Open party,IN,2056271.339999997,2056271.339999997,2056271.339999997,2056271.339999997,,,,,2056271.339999997,2056271.339999997
77,TXN2021101501639460A1,CH_BRANCH,AUSTRALIA,Account 9,RAND-0009,Wells Fargo,CHF,2021-10-15,2021-10-15,00:00:00,Open party,IN,1752575.62,1752575.62,1752575.62,1752575.62,,,,,1752575.62,1752575.62
78,TXN2021101501639461A1,EU_BRANCH,SWITZERLAND,"Credit Suisse AG, Zurich",0835-0970333-53-000,Julius Baer Group,CHF,2021-10-15,2021-10-15,00:00:00,Open party,IN,1722221.9299999992,1722221.9299999992,1722221.9299999992,1722221.9299999992,,,,,1722221.9299999992,1722221.9299999992
79,TXN2021101501639462A1,CH_BRANCH,AUSTRALIA,Lloyds Bank plc,ATOTI-0010,Wells Fargo,CHF,2021-10-15,2021-10-15,00:00:00,Open posn,IN,1579890.3199999994,1579890.3199999994,1579890.3199999994,1579890.3199999994,,,,,1579890.3199999994,1579890.3199999994
80,TXN2021101501639463A1,JP_BRANCH,UNITED STATES,"Citibank NA, New York",36266668,Société Générale,USD,2021-10-15,2021-10-15,00:00:00,Open posn,IN,2102789.040000004,2102789.040000004,2102789.040000004,2102789.040000004,,,,,2102789.040000004,2102789.040000004
81,TXN2021101501639464A1,US_BRANCH,UNITED STATES,Account 5,RAND-0041,Standard Chartered,USD,2021-10-15,2021-10-15,00:00:00,Open posn,IN,1983043.229999998,1983043.229999998,1983043.229999998,1983043.229999998,,,,,1983043.229999998,1983043.229999998
82,TXN2021101501639465A1,AU_BRANCH,AUSTRALIA,Account 2,RAND-0001,Macquarie Bank,AUD,2021-10-15,2021-10-15,00:00:00,Open posn,IN,3196857.809999999,3196857.809999999,3196857.809999999,3196857.809999999,,,,,3196857.809999999,3196857.809999999
83,TXN2021101501639466A1,EU_BRANCH,BELGIUM,Account 17,RAND-0017,Commerzbank,EUR,2021-10-15,2021-10-15,00:00:00,Open posn,IN,2034242.969999999,2034242.969999999,2034242.969999999,2034242.969999999,,,,,2034242.969999999,2034242.969999999
84,TXN2021101501639467A1,US_BRANCH,UNITED STATES,Mizuho Bank Limited,ATOTI-0040,Standard Chartered,USD,2021-10-15,2021-10-15,00:00:00,Open posn,IN,2390008.7200000007,2390008.7200000007,2390008.7200000007,2390008.7200000007,,,,,2390008.7200000007,2390008.7200000007
85,TXN2021101501639468A1,AU_BRANCH,AUSTRALIA,"Credit Suisse AG, Zurich",ATOTI-0006,Standard Chartered,AUD,2021-10-15,2021-10-15,00:00:00,Open party,IN,2895279.2300000004,2895279.2300000004,2895279.2300000004,2895279.2300000004,,,,,2895279.2300000004,2895279.2300000004
86,TXN2021101501639469A1,JP_BRANCH,JAPAN,Account 10,RAND-0028,Julius Baer Group,JPY,2021-10-15,2021-10-15,00:00:00,Open posn,IN,241786016.3900003,241786016.3900003,241786016.3900003,241786016.3900003,,,,,241786016.3900003,241786016.3900003
87,TXN2021101501639470A1,HK_BRANCH,HONG KONG,Account 3,RAND-0021,Julius Baer Group,HKD,2021-10-15,2021-10-15,00:00:00,Open posn,IN,16954579.310000014,16954579.310000014,16954579.310000014,16954579.310000014,,,,,16954579.310000014,16954579.310000014
88,TXN2021101501639471A1,AU_BRANCH,AUSTRALIA,Account 1,RAND-0001,Julius Baer Group,AUD,2021-10-15,2021-10-15,00:00:00,Open party,IN,3253142.3399999985,3253142.3399999985,3253142.3399999985,3253142.3399999985,,,,,3253142.3399999985,3253142.3399999985
89,TXN2021101501639472A1,AU_BRANCH,SWITZERLAND,"UBS AG, Zurich",06660000087750050000P,Commerzbank,CHF,2021-10-15,2021-10-15,00:00:00,Open party,IN,2171560.360000003,2171560.360000003,2171560.360000003,2171560.360000003,,,,,2171560.360000003,2171560.360000003
90,TXN2021101501639473A1,HK_BRANCH,BELGIUM,ING Bank NV/SA,BE363011110005781,Commerzbank,EUR,2021-10-15,2021-10-15,00:00:00,Open party,IN,2083389.130000004,2083389.130000004,2083389.130000004,2083389.130000004,,,,,2083389.130000004,2083389.130000004
91,TXN2021101501639474A1,JP_BRANCH,JAPAN,Bank of China,ATOTI-0028,Macquarie Bank,JPY,2021-10-15,2021-10-15,00:00:00,Open party,IN,322589421.7399997,322589421.7399997,322589421.7399997,322589421.7399997,,,,,322589421.7399997,322589421.7399997
92,TXN2021101501639475A1,AU_BRANCH,AUSTRALIA,"China Construction Bank (Asia) Corporation Limited, Hong Kong",ATOTI-0003,Wells Fargo,AUD,2021-10-15,2021-10-15,00:00:00,Open party,IN,2724347.399999999,2724347.399999999,2724347.399999999,2724347.399999999,,,,,2724347.399999999,2724347.399999999
93,TXN2021101501639476A1,JP_BRANCH,HONG KONG,"China Construction Bank (Asia) Corporation Limited, Hong Kong",4444 3007 5500,Argenta,HKD,2021-10-15,2021-10-15,00:00:00,Open party,IN,16901014.150000002,16901014.150000002,16901014.150000002,16901014.150000002,,,,,16901014.150000002,16901014.150000002
94,TXN2021101501639477A1,HK_BRANCH,UNITED KINGDOM,Lloyds Bank plc,14441004,Standard Chartered,GBP,2021-10-15,2021-10-15,00:00:00,Open party,IN,1646119.2099999995,1646119.2099999995,1646119.2099999995,1646119.2099999995,,,,,1646119.2099999995,1646119.2099999995
95,TXN2021101501639478A1,UK_PLC,UNITED KINGDOM,CMB Wing Lung Bank Ltd,ATOTI-0034,Julius Baer Group,GBP,2021-10-15,2021-10-15,00:00:00,Open posn,IN,1528148.0000000005,1528148.0000000005,1528148.0000000005,1528148.0000000005,,,,,1528148.0000000005,1528148.0000000005
